file,n,qubits
32_baseline,22,0
32_baseline,23,0
32_baseline,24,0
32_baseline,25,0
32_baseline,26,0
32_baseline,27,0
32_baseline,28,0
32_baseline,29,0
32_baseline,30,0
32_baseline,31,0
32_baseline,32,0
32_baseline,33,0
32_baseline,34,0
32_baseline,35,0
32_baseline,36,0
32_baseline,37,0
32_baseline,38,0
32_baseline,39,0
32_baseline,40,0
32_baseline,41,0
32_baseline,42,0
32_baseline,43,0
32_baseline,44,0
32_baseline,45,0
32_baseline,46,0
32_baseline,47,0
32_baseline,48,0
32_baseline,49,0
32_baseline,50,0
32_baseline,51,0
32_baseline,52,0
32_baseline,53,0
32_baseline,54,0
32_baseline,55,0
32_baseline,56,0
32_baseline,57,0
32_baseline,58,0
32_baseline,59,0
32_baseline,60,0
32_baseline,61,0
32_baseline,62,0
32_baseline,63,0
32_baseline,64,0
32_baseline,65,0
32_baseline,66,0
32_baseline,67,0
32_baseline,68,0
32_baseline,69,0
32_baseline,70,0
32_baseline,71,8
32_baseline,72,0
32_baseline,73,0
32_baseline,74,0
32_baseline,75,0
32_baseline,76,0
32_baseline,77,0
32_baseline,78,48
32_baseline,79,48
32_baseline,80,48
32_base_mr,1,0
32_base_mr,2,0
32_base_mr,3,0
32_base_mr,4,0
32_base_mr,5,0
32_base_mr,6,0
32_base_mr,7,0
32_base_mr,8,0
32_base_mr,9,0
32_base_mr,10,0
32_base_mr,11,0
32_base_mr,12,0
32_base_mr,13,0
32_base_mr,14,0
32_base_mr,15,0
32_base_mr,16,0
32_base_mr,17,0
32_base_mr,18,0
32_base_mr,19,0
32_base_mr,20,0
32_base_mr,21,0
32_base_mr,22,0
32_base_mr,23,0
32_base_mr,24,0
32_base_mr,25,0
32_base_mr,26,0
32_base_mr,27,0
32_base_mr,28,0
32_base_mr,29,0
32_base_mr,30,0
32_base_mr,31,0
32_base_mr,32,0
32_base_mr,33,0
32_base_mr,34,0
32_base_mr,35,0
32_base_mr,36,0
32_base_mr,37,0
32_base_mr,38,0
32_base_mr,39,0
32_base_mr,40,0
32_base_mr,41,0
32_base_mr,42,0
32_base_mr,43,0
32_base_mr,44,0
32_base_mr,45,0
32_base_mr,46,0
32_base_mr,47,0
32_base_mr,48,0
32_base_mr,49,0
32_base_mr,50,0
32_base_mr,51,0
32_base_mr,52,0
32_base_mr,53,0
32_base_mr,54,0
32_base_mr,55,0
32_base_mr,56,0
32_base_mr,57,0
32_base_mr,58,0
32_base_mr,59,0
32_base_mr,60,0
32_base_mr,61,0
32_base_mr,62,0
32_base_mr,63,0
32_base_mr,64,0
32_base_mr,65,0
32_base_mr,66,0
32_base_mr,67,0
32_base_mr,68,0
32_base_mr,69,0
32_base_mr,70,0
32_base_mr,71,8
32_base_mr,72,0
32_base_mr,73,0
32_base_mr,74,0
32_base_mr,75,0
32_base_mr,76,0
32_base_mr,77,0
32_base_mr,78,48
32_base_mr,79,48
32_base_mr,80,48
32_const_mr,1,0
32_const_mr,2,8
32_const_mr,3,0
32_const_mr,4,0
32_const_mr,5,0
32_const_mr,6,0
32_const_mr,7,0
32_const_mr,8,0
32_const_mr,9,32
32_const_mr,10,32
32_const_mr,11,32
32_const_mr,12,172
32_const_mr,13,4
32_const_mr,14,1257
32_const_mr,15,38
32_const_mr,16,1127
32_const_mr,17,1354
32_const_mr,18,332
32_const_mr,19,1673
32_const_mr,20,259
32_const_mr,21,710
32_const_mr,22,131
32_const_mr,23,1717
32_const_mr,24,1550
32_const_mr,25,4674
32_const_mr,26,2836
32_const_mr,27,3754
32_const_mr,28,6312
32_const_mr,29,7257
32_const_mr,30,2680
32_const_mr,31,1956
32_const_mr,32,7684
32_const_mr,33,8638
32_const_mr,34,9272
32_const_mr,35,7242
32_const_mr,36,7566
32_const_mr,37,8073
32_const_mr,38,11979
32_const_mr,39,6422
32_const_mr,40,10055
32_const_mr,41,13062
32_const_mr,42,12450
32_const_mr,43,12805
32_const_mr,44,10907
32_const_mr,45,11098
32_const_mr,46,11584
32_const_mr,47,11979
32_const_mr,48,6422
32_const_mr,49,10055
32_const_mr,50,13062
32_const_mr,51,12450
32_const_mr,52,12805
32_const_mr,53,10907
32_const_mr,54,11098
32_const_mr,55,11584
32_const_mr,56,11979
32_const_mr,57,6422
32_const_mr,58,10055
32_const_mr,59,13062
32_const_mr,60,12450
32_const_mr,61,12805
32_const_mr,62,10907
32_const_mr,63,11098
32_const_mr,64,11584
32_const_mr,65,11979
32_const_mr,66,6422
32_const_mr,67,10055
32_const_mr,68,13062
32_const_mr,69,12450
32_const_mr,70,12805
32_const_mr,71,10907
32_const_mr,72,11098
32_const_mr,73,11584
32_const_mr,74,11979
32_const_mr,75,6422
32_const_mr,76,10055
32_const_mr,77,13062
32_const_mr,78,12450
32_const_mr,79,12805
32_const_mr,80,10907
32_base_lin,1,0
32_base_lin,2,0
32_base_lin,3,0
32_base_lin,4,0
32_base_lin,5,0
32_base_lin,6,0
32_base_lin,7,0
32_base_lin,8,0
32_base_lin,9,0
32_base_lin,10,0
32_base_lin,11,0
32_base_lin,12,0
32_base_lin,13,0
32_base_lin,14,0
32_base_lin,15,0
32_base_lin,16,0
32_base_lin,17,0
32_base_lin,18,0
32_base_lin,19,0
32_base_lin,20,0
32_base_lin,21,0
32_base_lin,22,0
32_base_lin,23,0
32_base_lin,24,0
32_base_lin,25,0
32_base_lin,26,0
32_base_lin,27,0
32_base_lin,28,0
32_base_lin,29,0
32_base_lin,30,0
32_base_lin,31,0
32_base_lin,32,0
32_base_lin,33,0
32_base_lin,34,0
32_base_lin,35,0
32_base_lin,36,0
32_base_lin,37,0
32_base_lin,38,0
32_base_lin,39,0
32_base_lin,40,0
32_base_lin,41,0
32_base_lin,42,0
32_base_lin,43,0
32_base_lin,44,0
32_base_lin,45,0
32_base_lin,46,0
32_base_lin,47,0
32_base_lin,48,0
32_base_lin,49,0
32_base_lin,50,0
32_base_lin,51,0
32_base_lin,52,0
32_base_lin,53,0
32_base_lin,54,0
32_base_lin,55,0
32_base_lin,56,0
32_base_lin,57,0
32_base_lin,58,0
32_base_lin,59,0
32_base_lin,60,0
32_base_lin,61,0
32_base_lin,62,0
32_base_lin,63,0
32_base_lin,64,0
32_base_lin,65,0
32_base_lin,66,0
32_base_lin,67,0
32_base_lin,68,0
32_base_lin,69,0
32_base_lin,70,0
32_base_lin,71,8
32_base_lin,72,0
32_base_lin,73,0
32_base_lin,74,0
32_base_lin,75,0
32_base_lin,76,0
32_base_lin,77,0
32_base_lin,78,48
32_base_lin,79,48
32_base_lin,80,48
32_12bad_c_lin,1,0
32_12bad_c_lin,2,8
32_12bad_c_lin,3,0
32_12bad_c_lin,4,0
32_12bad_c_lin,5,0
32_12bad_c_lin,6,0
32_12bad_c_lin,7,0
32_12bad_c_lin,8,0
32_12bad_c_lin,9,32
32_12bad_c_lin,10,32
32_12bad_c_lin,11,32
32_12bad_c_lin,12,172
32_12bad_c_lin,13,4
32_12bad_c_lin,14,760
32_12bad_c_lin,15,38
32_12bad_c_lin,16,780
32_12bad_c_lin,17,857
32_12bad_c_lin,18,332
32_12bad_c_lin,19,1176
32_12bad_c_lin,20,259
32_12bad_c_lin,21,710
32_12bad_c_lin,22,131
32_12bad_c_lin,23,1220
32_12bad_c_lin,24,1053
32_12bad_c_lin,25,3322
32_12bad_c_lin,26,2308
32_12bad_c_lin,27,2648
32_12bad_c_lin,28,4331
32_12bad_c_lin,29,5490
32_12bad_c_lin,30,2532
32_12bad_c_lin,31,1808
32_12bad_c_lin,32,5925
32_12bad_c_lin,33,7311
32_12bad_c_lin,34,7067
32_12bad_c_lin,35,6285
32_12bad_c_lin,36,5793
32_12bad_c_lin,37,6295
32_12bad_c_lin,38,10539
32_12bad_c_lin,39,6219
32_12bad_c_lin,40,9047
32_12bad_c_lin,41,10806
32_12bad_c_lin,42,11010
32_12bad_c_lin,43,10549
32_12bad_c_lin,44,9897
32_12bad_c_lin,45,9274
32_12bad_c_lin,46,9758
32_12bad_c_lin,47,10539
32_12bad_c_lin,48,6219
32_12bad_c_lin,49,9047
32_12bad_c_lin,50,10806
32_12bad_c_lin,51,11010
32_12bad_c_lin,52,10549
32_12bad_c_lin,53,9897
32_12bad_c_lin,54,9274
32_12bad_c_lin,55,9758
32_12bad_c_lin,56,10539
32_12bad_c_lin,57,6219
32_12bad_c_lin,58,9047
32_12bad_c_lin,59,10806
32_12bad_c_lin,60,11010
32_12bad_c_lin,61,10549
32_12bad_c_lin,62,9897
32_12bad_c_lin,63,9274
32_12bad_c_lin,64,9758
32_12bad_c_lin,65,10539
32_12bad_c_lin,66,6219
32_12bad_c_lin,67,9047
32_12bad_c_lin,68,10806
32_12bad_c_lin,69,11010
32_12bad_c_lin,70,10549
32_12bad_c_lin,71,9897
32_12bad_c_lin,72,9274
32_12bad_c_lin,73,9758
32_12bad_c_lin,74,10539
32_12bad_c_lin,75,6219
32_12bad_c_lin,76,9047
32_12bad_c_lin,77,10806
32_12bad_c_lin,78,11010
32_12bad_c_lin,79,10549
32_12bad_c_lin,80,9897
32_12bad_lin,1,0
32_12bad_lin,2,0
32_12bad_lin,3,0
32_12bad_lin,4,0
32_12bad_lin,5,0
32_12bad_lin,6,0
32_12bad_lin,7,0
32_12bad_lin,8,0
32_12bad_lin,9,0
32_12bad_lin,10,0
32_12bad_lin,11,0
32_12bad_lin,12,0
32_12bad_lin,13,0
32_12bad_lin,14,0
32_12bad_lin,15,0
32_12bad_lin,16,0
32_12bad_lin,17,0
32_12bad_lin,18,0
32_12bad_lin,19,0
32_12bad_lin,20,0
32_12bad_lin,21,0
32_12bad_lin,22,0
32_12bad_lin,23,0
32_12bad_lin,24,0
32_12bad_lin,25,0
32_12bad_lin,26,0
32_12bad_lin,27,0
32_12bad_lin,28,0
32_12bad_lin,29,0
32_12bad_lin,30,0
32_12bad_lin,31,0
32_12bad_lin,32,0
32_12bad_lin,33,0
32_12bad_lin,34,0
32_12bad_lin,35,0
32_12bad_lin,36,0
32_12bad_lin,37,0
32_12bad_lin,38,0
32_12bad_lin,39,0
32_12bad_lin,40,0
32_12bad_lin,41,0
32_12bad_lin,42,0
32_12bad_lin,43,0
32_12bad_lin,44,0
32_12bad_lin,45,0
32_12bad_lin,46,0
32_12bad_lin,47,0
32_12bad_lin,48,0
32_12bad_lin,49,0
32_12bad_lin,50,0
32_12bad_lin,51,0
32_12bad_lin,52,0
32_12bad_lin,53,0
32_12bad_lin,54,0
32_12bad_lin,55,0
32_12bad_lin,56,0
32_12bad_lin,57,0
32_12bad_lin,58,0
32_12bad_lin,59,0
32_12bad_lin,60,0
32_12bad_lin,61,0
32_12bad_lin,62,0
32_12bad_lin,63,0
32_12bad_lin,64,0
32_12bad_lin,65,0
32_12bad_lin,66,0
32_12bad_lin,67,0
32_12bad_lin,68,0
32_12bad_lin,69,0
32_12bad_lin,70,0
32_12bad_lin,71,8
32_12bad_lin,72,0
32_12bad_lin,73,0
32_12bad_lin,74,0
32_12bad_lin,75,0
32_12bad_lin,76,0
32_12bad_lin,77,0
32_12bad_lin,78,48
32_12bad_lin,79,48
32_12bad_lin,80,48
32_const_prop,1,0
32_const_prop,2,8
32_const_prop,3,0
32_const_prop,4,0
32_const_prop,5,0
32_const_prop,6,0
32_const_prop,7,0
32_const_prop,8,0
32_const_prop,9,32
32_const_prop,10,32
32_const_prop,11,32
32_const_prop,12,172
32_const_prop,13,4
32_const_prop,14,760
32_const_prop,15,38
32_const_prop,16,794
32_const_prop,17,857
32_const_prop,18,332
32_const_prop,19,1176
32_const_prop,20,259
32_const_prop,21,710
32_const_prop,22,131
32_const_prop,23,1220
32_const_prop,24,1053
32_const_prop,25,3402
32_const_prop,26,2339
32_const_prop,27,2679
32_const_prop,28,4459
32_const_prop,29,5570
32_const_prop,30,2563
32_const_prop,31,1839
32_const_prop,32,6053
32_const_prop,33,7391
32_const_prop,34,7243
32_const_prop,35,6365
32_const_prop,36,5921
32_const_prop,37,6428
32_const_prop,38,10718
32_const_prop,39,6301
32_const_prop,40,9178
32_const_prop,41,11033
32_const_prop,42,11189
32_const_prop,43,10776
32_const_prop,44,10030
32_const_prop,45,9453
32_const_prop,46,9939
32_const_prop,47,10718
32_const_prop,48,6301
32_const_prop,49,9178
32_const_prop,50,11033
32_const_prop,51,11189
32_const_prop,52,10776
32_const_prop,53,10030
32_const_prop,54,9453
32_const_prop,55,9939
32_const_prop,56,10718
32_const_prop,57,6301
32_const_prop,58,9178
32_const_prop,59,11033
32_const_prop,60,11189
32_const_prop,61,10776
32_const_prop,62,10030
32_const_prop,63,9453
32_const_prop,64,9939
32_const_prop,65,10718
32_const_prop,66,6301
32_const_prop,67,9178
32_const_prop,68,11033
32_const_prop,69,11189
32_const_prop,70,10776
32_const_prop,71,10030
32_const_prop,72,9453
32_const_prop,73,9939
32_const_prop,74,10718
32_const_prop,75,6301
32_const_prop,76,9178
32_const_prop,77,11033
32_const_prop,78,11189
32_const_prop,79,10776
32_const_prop,80,10030
32_const_lin,1,0
32_const_lin,2,8
32_const_lin,3,0
32_const_lin,4,0
32_const_lin,5,0
32_const_lin,6,0
32_const_lin,7,0
32_const_lin,8,0
32_const_lin,9,32
32_const_lin,10,32
32_const_lin,11,32
32_const_lin,12,172
32_const_lin,13,4
32_const_lin,14,760
32_const_lin,15,38
32_const_lin,16,781
32_const_lin,17,857
32_const_lin,18,332
32_const_lin,19,1176
32_const_lin,20,259
32_const_lin,21,710
32_const_lin,22,131
32_const_lin,23,1220
32_const_lin,24,1053
32_const_lin,25,3354
32_const_lin,26,2339
32_const_lin,27,2679
32_const_lin,28,4363
32_const_lin,29,5522
32_const_lin,30,2563
32_const_lin,31,1839
32_const_lin,32,5957
32_const_lin,33,7343
32_const_lin,34,7099
32_const_lin,35,6317
32_const_lin,36,5825
32_const_lin,37,6332
32_const_lin,38,10574
32_const_lin,39,6253
32_const_lin,40,9082
32_const_lin,41,10841
32_const_lin,42,11045
32_const_lin,43,10584
32_const_lin,44,9934
32_const_lin,45,9309
32_const_lin,46,9795
32_const_lin,47,10574
32_const_lin,48,6253
32_const_lin,49,9082
32_const_lin,50,10841
32_const_lin,51,11045
32_const_lin,52,10584
32_const_lin,53,9934
32_const_lin,54,9309
32_const_lin,55,9795
32_const_lin,56,10574
32_const_lin,57,6253
32_const_lin,58,9082
32_const_lin,59,10841
32_const_lin,60,11045
32_const_lin,61,10584
32_const_lin,62,9934
32_const_lin,63,9309
32_const_lin,64,9795
32_const_lin,65,10574
32_const_lin,66,6253
32_const_lin,67,9082
32_const_lin,68,10841
32_const_lin,69,11045
32_const_lin,70,10584
32_const_lin,71,9934
32_const_lin,72,9309
32_const_lin,73,9795
32_const_lin,74,10574
32_const_lin,75,6253
32_const_lin,76,9082
32_const_lin,77,10841
32_const_lin,78,11045
32_const_lin,79,10584
32_const_lin,80,9934
32_base_mmu,1,0
32_base_mmu,2,0
32_base_mmu,3,0
32_base_mmu,4,0
32_base_mmu,5,0
32_base_mmu,6,0
32_base_mmu,7,0
32_base_mmu,8,0
32_base_mmu,9,0
32_base_mmu,10,0
32_base_mmu,11,0
32_base_mmu,12,0
32_base_mmu,13,0
32_base_mmu,14,0
32_base_mmu,15,0
32_base_mmu,16,0
32_base_mmu,17,0
32_base_mmu,18,0
32_base_mmu,19,0
32_base_mmu,20,0
32_base_mmu,21,0
32_base_mmu,22,0
32_base_mmu,23,0
32_base_mmu,24,0
32_base_mmu,25,0
32_base_mmu,26,0
32_base_mmu,27,0
32_base_mmu,28,0
32_base_mmu,29,0
32_base_mmu,30,0
32_base_mmu,31,0
32_base_mmu,32,0
32_base_mmu,33,0
32_base_mmu,34,0
32_base_mmu,35,0
32_base_mmu,36,0
32_base_mmu,37,0
32_base_mmu,38,0
32_base_mmu,39,0
32_base_mmu,40,0
32_base_mmu,41,0
32_base_mmu,42,0
32_base_mmu,43,0
32_base_mmu,44,0
32_base_mmu,45,0
32_base_mmu,46,0
32_base_mmu,47,0
32_base_mmu,48,0
32_base_mmu,49,0
32_base_mmu,50,0
32_base_mmu,51,0
32_base_mmu,52,0
32_base_mmu,53,0
32_base_mmu,54,0
32_base_mmu,55,0
32_base_mmu,56,0
32_base_mmu,57,0
32_base_mmu,58,0
32_base_mmu,59,0
32_base_mmu,60,0
32_base_mmu,61,0
32_base_mmu,62,0
32_base_mmu,63,0
32_base_mmu,64,0
32_base_mmu,65,0
32_base_mmu,66,0
32_base_mmu,67,0
32_base_mmu,68,0
32_base_mmu,69,0
32_base_mmu,70,0
32_base_mmu,71,8
32_base_mmu,72,0
32_base_mmu,73,0
32_base_mmu,74,0
32_base_mmu,75,0
32_base_mmu,76,0
32_base_mmu,77,0
32_base_mmu,78,48
32_base_mmu,79,48
32_base_mmu,80,48
32_base_ram,1,0
32_base_ram,2,0
32_base_ram,3,0
32_base_ram,4,0
32_base_ram,5,0
32_base_ram,6,0
32_base_ram,7,0
32_base_ram,8,0
32_base_ram,9,0
32_base_ram,10,0
32_base_ram,11,0
32_base_ram,12,0
32_base_ram,13,0
32_base_ram,14,0
32_base_ram,15,0
32_base_ram,16,0
32_base_ram,17,0
32_base_ram,18,0
32_base_ram,19,0
32_base_ram,20,0
32_base_ram,21,0
32_base_ram,22,0
32_base_ram,23,0
32_base_ram,24,0
32_base_ram,25,0
32_base_ram,26,0
32_base_ram,27,0
32_base_ram,28,0
32_base_ram,29,0
32_base_ram,30,0
32_base_ram,31,0
32_base_ram,32,0
32_base_ram,33,0
32_base_ram,34,0
32_base_ram,35,0
32_base_ram,36,0
32_base_ram,37,0
32_base_ram,38,0
32_base_ram,39,0
32_base_ram,40,0
32_base_ram,41,0
32_base_ram,42,0
32_base_ram,43,0
32_base_ram,44,0
32_base_ram,45,0
32_base_ram,46,0
32_base_ram,47,0
32_base_ram,48,0
32_base_ram,49,0
32_base_ram,50,0
32_base_ram,51,0
32_base_ram,52,0
32_base_ram,53,0
32_base_ram,54,0
32_base_ram,55,0
32_base_ram,56,0
32_base_ram,57,0
32_base_ram,58,0
32_base_ram,59,0
32_base_ram,60,0
32_base_ram,61,0
32_base_ram,62,0
32_base_ram,63,0
32_base_ram,64,0
32_base_ram,65,0
32_base_ram,66,0
32_base_ram,67,0
32_base_ram,68,0
32_base_ram,69,0
32_base_ram,70,0
32_base_ram,71,8
32_base_ram,72,0
32_base_ram,73,0
32_base_ram,74,0
32_base_ram,75,0
32_base_ram,76,0
32_base_ram,77,0
32_base_ram,78,48
32_base_ram,79,48
32_base_ram,80,48
32_const_mmu,1,0
32_const_mmu,2,8
32_const_mmu,3,0
32_const_mmu,4,0
32_const_mmu,5,0
32_const_mmu,6,0
32_const_mmu,7,0
32_const_mmu,8,0
32_const_mmu,9,32
32_const_mmu,10,32
32_const_mmu,11,32
32_const_mmu,12,172
32_const_mmu,13,4
32_const_mmu,14,1257
32_const_mmu,15,38
32_const_mmu,16,1675
32_const_mmu,17,1354
32_const_mmu,18,354
32_const_mmu,19,1673
32_const_mmu,20,259
32_const_mmu,21,710
32_const_mmu,22,131
32_const_mmu,23,1717
32_const_mmu,24,1550
32_const_mmu,25,4994
32_const_mmu,26,2836
32_const_mmu,27,3435
32_const_mmu,28,6952
32_const_mmu,29,8201
32_const_mmu,30,2680
32_const_mmu,31,1956
32_const_mmu,32,8676
32_const_mmu,33,10022
32_const_mmu,34,10760
32_const_mmu,35,8122
32_const_mmu,36,8558
32_const_mmu,37,9065
32_const_mmu,38,14235
32_const_mmu,39,7302
32_const_mmu,40,11815
32_const_mmu,41,15430
32_const_mmu,42,14706
32_const_mmu,43,15173
32_const_mmu,44,12667
32_const_mmu,45,12970
32_const_mmu,46,13456
32_const_mmu,47,14235
32_const_mmu,48,7302
32_const_mmu,49,11815
32_const_mmu,50,15430
32_const_mmu,51,14706
32_const_mmu,52,15173
32_const_mmu,53,12667
32_const_mmu,54,12970
32_const_mmu,55,13456
32_const_mmu,56,14235
32_const_mmu,57,7302
32_const_mmu,58,11815
32_const_mmu,59,15430
32_const_mmu,60,14706
32_const_mmu,61,15173
32_const_mmu,62,12667
32_const_mmu,63,12970
32_const_mmu,64,13456
32_const_mmu,65,14235
32_const_mmu,66,7302
32_const_mmu,67,11815
32_const_mmu,68,15430
32_const_mmu,69,14706
32_const_mmu,70,15173
32_const_mmu,71,12667
32_const_mmu,72,12970
32_const_mmu,73,13456
32_const_mmu,74,14235
32_const_mmu,75,7302
32_const_mmu,76,11815
32_const_mmu,77,15430
32_const_mmu,78,14706
32_const_mmu,79,15173
32_const_mmu,80,12667
32_12bad_c_mr,1,0
32_12bad_c_mr,2,8
32_12bad_c_mr,3,0
32_12bad_c_mr,4,0
32_12bad_c_mr,5,0
32_12bad_c_mr,6,0
32_12bad_c_mr,7,0
32_12bad_c_mr,8,0
32_12bad_c_mr,9,32
32_12bad_c_mr,10,32
32_12bad_c_mr,11,32
32_12bad_c_mr,12,172
32_12bad_c_mr,13,4
32_12bad_c_mr,14,1257
32_12bad_c_mr,15,38
32_12bad_c_mr,16,1126
32_12bad_c_mr,17,1354
32_12bad_c_mr,18,332
32_12bad_c_mr,19,1673
32_12bad_c_mr,20,259
32_12bad_c_mr,21,710
32_12bad_c_mr,22,131
32_12bad_c_mr,23,1717
32_12bad_c_mr,24,1550
32_12bad_c_mr,25,4642
32_12bad_c_mr,26,2805
32_12bad_c_mr,27,3723
32_12bad_c_mr,28,6280
32_12bad_c_mr,29,7225
32_12bad_c_mr,30,2649
32_12bad_c_mr,31,1925
32_12bad_c_mr,32,7652
32_12bad_c_mr,33,8606
32_12bad_c_mr,34,9240
32_12bad_c_mr,35,7210
32_12bad_c_mr,36,7534
32_12bad_c_mr,37,8036
32_12bad_c_mr,38,11944
32_12bad_c_mr,39,6388
32_12bad_c_mr,40,10020
32_12bad_c_mr,41,13027
32_12bad_c_mr,42,12415
32_12bad_c_mr,43,12770
32_12bad_c_mr,44,10870
32_12bad_c_mr,45,11063
32_12bad_c_mr,46,11547
32_12bad_c_mr,47,11944
32_12bad_c_mr,48,6388
32_12bad_c_mr,49,10020
32_12bad_c_mr,50,13027
32_12bad_c_mr,51,12415
32_12bad_c_mr,52,12770
32_12bad_c_mr,53,10870
32_12bad_c_mr,54,11063
32_12bad_c_mr,55,11547
32_12bad_c_mr,56,11944
32_12bad_c_mr,57,6388
32_12bad_c_mr,58,10020
32_12bad_c_mr,59,13027
32_12bad_c_mr,60,12415
32_12bad_c_mr,61,12770
32_12bad_c_mr,62,10870
32_12bad_c_mr,63,11063
32_12bad_c_mr,64,11547
32_12bad_c_mr,65,11944
32_12bad_c_mr,66,6388
32_12bad_c_mr,67,10020
32_12bad_c_mr,68,13027
32_12bad_c_mr,69,12415
32_12bad_c_mr,70,12770
32_12bad_c_mr,71,10870
32_12bad_c_mr,72,11063
32_12bad_c_mr,73,11547
32_12bad_c_mr,74,11944
32_12bad_c_mr,75,6388
32_12bad_c_mr,76,10020
32_12bad_c_mr,77,13027
32_12bad_c_mr,78,12415
32_12bad_c_mr,79,12770
32_12bad_c_mr,80,10870
32_const_ram,1,0
32_const_ram,2,8
32_const_ram,3,0
32_const_ram,4,0
32_const_ram,5,0
32_const_ram,6,0
32_const_ram,7,0
32_const_ram,8,0
32_const_ram,9,32
32_const_ram,10,32
32_const_ram,11,32
32_const_ram,12,172
32_const_ram,13,4
32_const_ram,14,1257
32_const_ram,15,38
32_const_ram,16,1811
32_const_ram,17,1354
32_const_ram,18,354
32_const_ram,19,1673
32_const_ram,20,259
32_const_ram,21,710
32_const_ram,22,131
32_const_ram,23,1717
32_const_ram,24,1550
32_const_ram,25,5554
32_const_ram,26,2836
32_const_ram,27,3995
32_const_ram,28,8072
32_const_ram,29,9025
32_const_ram,30,2680
32_const_ram,31,1956
32_const_ram,32,9444
32_const_ram,33,10406
32_const_ram,34,11912
32_const_ram,35,8122
32_const_ram,36,9326
32_const_ram,37,9833
32_const_ram,38,14619
32_const_ram,39,7302
32_const_ram,40,11815
32_const_ram,41,16582
32_const_ram,42,15090
32_const_ram,43,16325
32_const_ram,44,12667
32_const_ram,45,13738
32_const_ram,46,14224
32_const_ram,47,14619
32_const_ram,48,7302
32_const_ram,49,11815
32_const_ram,50,16582
32_const_ram,51,15090
32_const_ram,52,16325
32_const_ram,53,12667
32_const_ram,54,13738
32_const_ram,55,14224
32_const_ram,56,14619
32_const_ram,57,7302
32_const_ram,58,11815
32_const_ram,59,16582
32_const_ram,60,15090
32_const_ram,61,16325
32_const_ram,62,12667
32_const_ram,63,13738
32_const_ram,64,14224
32_const_ram,65,14619
32_const_ram,66,7302
32_const_ram,67,11815
32_const_ram,68,16582
32_const_ram,69,15090
32_const_ram,70,16325
32_const_ram,71,12667
32_const_ram,72,13738
32_const_ram,73,14224
32_const_ram,74,14619
32_const_ram,75,7302
32_const_ram,76,11815
32_const_ram,77,16582
32_const_ram,78,15090
32_const_ram,79,16325
32_const_ram,80,12667
32_12bad,1,0
32_12bad,2,0
32_12bad,3,0
32_12bad,4,0
32_12bad,5,0
32_12bad,6,0
32_12bad,7,0
32_12bad,8,0
32_12bad,9,0
32_12bad,10,0
32_12bad,11,0
32_12bad,12,0
32_12bad,13,0
32_12bad,14,0
32_12bad,15,0
32_12bad,16,0
32_12bad,17,0
32_12bad,18,0
32_12bad,19,0
32_12bad,20,0
32_12bad,21,0
32_12bad,22,0
